date,CLOSE,buyin
2017-05-09,11.52662364,0
2017-05-10,12.67695031,0
2017-05-11,13.94406142,0
2017-05-12,15.33963541,0
2017-05-15,16.87535072,0
2017-05-16,18.56288579,0
2017-05-17,20.41975829,0
2017-05-18,22.46348589,0
2017-05-19,24.71158624,0
2017-05-22,25.62250483,0
2017-05-23,23.0590865,0
2017-05-24,23.63133023,0
2017-05-25,22.305826899999996,0
2017-05-26,23.64884789,0
2017-05-31,22.7904823,0
2017-06-01,22.01386582,0
2017-06-02,22.01386582,0
2017-06-05,22.03138348,0
2017-06-06,21.89124216,0
2017-06-07,22.77296464,0
2017-06-08,21.81533228,0
2017-06-09,21.90875983,0
2017-06-12,20.2329032,0
2017-06-13,20.88105681,0
2017-06-14,20.70004093,0
2017-06-15,21.18469633,0
2017-06-16,21.13214334,0
2017-06-19,20.96864513,0
2017-06-20,20.70004093,0
2017-06-21,20.76427237,0
2017-06-22,19.91758522,0
2017-06-23,19.54971426,0
2017-06-26,19.80664001,0
2017-06-27,19.68401636,0
2017-06-28,19.26943162,0
2017-06-29,19.32198461,0
2017-06-30,19.6139457,0
2017-07-03,19.68401636,0
2017-07-04,19.75408702,0
2017-07-05,20.28545619,0
2017-07-06,20.45479362,0
2017-07-07,20.65332716,0
2017-07-10,19.65482025,0
2017-07-11,19.50883971,0
2017-07-12,19.68985558,0
2017-07-13,19.31614539,0
2017-07-14,18.17165794,0
2017-07-17,16.47244442,0
2017-07-18,16.58338963,0
2017-07-19,16.51915819,0
2017-07-20,16.30310699,0
2017-07-21,16.37317765,0
2017-07-24,16.40237376,0
2017-07-25,16.41989143,0
2017-07-26,16.32062466,0
2017-07-27,16.87535072,0
2017-07-28,16.4666052,0
2017-07-31,16.332303099999997,0
2017-08-01,16.40821298,0
2017-08-02,16.18048334,0
2017-08-03,16.26223244,0
2017-08-04,16.0636989,0
2017-08-07,16.13960878,0
2017-08-08,16.05785968,0
2017-08-09,15.981949800000002,0
2017-08-10,15.83013003,0
2017-08-11,15.74838093,0
2017-08-14,15.99946746,0
2017-08-15,16.41989143,0
2017-08-16,16.61258574,0
2017-08-17,16.6009073,0
2017-08-18,16.37901687,0
2017-08-21,16.8169585,0
2017-08-22,16.75856628,0
2017-08-23,16.869511499999998,0
2017-08-24,16.81111928,0
2017-08-25,17.43007678,0
2017-08-28,19.17600407,0
2017-08-29,19.32198461,0
2017-08-30,18.35851303,0
